S.No,URL,Action,Timestamp,
1,https://find-the-right.vercel.app/,Report Generated,11-04-2025, 1:53:44 pm
2,https://find-the-right.vercel.app/,Report Generated,11-04-2025, 1:53:42 pm
3,https://find-the-right.vercel.app/,URL Checked,11-04-2025, 1:53:06 pm
4,https://fontawesome.com/icons/comments?s=solid,Report Generated,11-04-2025, 1:50:41 pm
5,https://fontawesome.com/icons/comments?s=solid,Report Generated,11-04-2025, 1:50:40 pm
6,https://fontawesome.com/icons/comments?s=solid,URL Checked,11-04-2025, 1:49:32 pm
7,https://fontawesome.com/icons/comments?s=solid,Report Generated,11-04-2025, 1:47:00 pm
8,https://fontawesome.com/icons/comments?s=solid,Report Generated,11-04-2025, 1:46:59 pm
9,https://fontawesome.com/icons/comments?s=solid,URL Checked,11-04-2025, 1:46:16 pm
10,https://fontawesome.com/icons/comments?s=solid,Report Generated,11-04-2025, 1:39:09 pm
11,https://fontawesome.com/icons/comments?s=solid,Report Generated,11-04-2025, 1:38:53 pm
12,https://fontawesome.com/icons/comments?s=solid,URL Checked,11-04-2025, 1:37:46 pm
13,https://fontawesome.com/icons/comments?s=solid,URL Checked,11-04-2025, 1:32:37 pm
14,https://find-the-right.vercel.app/,Report Generated,11-04-2025, 1:30:55 pm
15,https://find-the-right.vercel.app/,URL Checked,11-04-2025, 1:29:36 pm
16,https://www.bbc.com/news,Report Generated,11-04-2025, 12:53:22 pm
17,https://www.bbc.com/news,URL Checked,11-04-2025, 12:52:18 pm
18,https://www.bbc.com/news,URL Checked,11-04-2025, 12:24:28 pm
19,https://www.bbc.com/news,Report Generated,11-04-2025, 12:07:21 pm
20,https://www.bbc.com/news,Report Generated,11-04-2025, 12:07:16 pm
21,https://www.bbc.com/news,URL Checked,11-04-2025, 12:05:47 pm
22,https://www.bbc.com/news,Report Generated,11-04-2025, 11:48:35 am
23,https://www.bbc.com/news,URL Checked,11-04-2025, 11:48:01 am
24,https://www.bbc.com/news,URL Checked,11-04-2025, 11:17:34 am
25,https://www.bbc.com/news,Report Generated,11-04-2025, 11:12:21 am
26,https://www.bbc.com/news,Report Generated,11-04-2025, 11:12:13 am
27,https://www.bbc.com/news,URL Checked,11-04-2025, 11:11:37 am
28,https://fontawesome.com/icons/comments?s=solid,Report Generated,11-04-2025, 11:03:12 am
29,https://fontawesome.com/icons/comments?s=solid,Report Generated,11-04-2025, 11:03:00 am
30,https://fontawesome.com/icons/comments?s=solid,URL Checked,11-04-2025, 11:01:43 am
31,https://nextjs.org/docs,URL Checking Failed,11-04-2025, 11:00:44 am
32,https://nextjs.org/docs,URL Checking Failed,11-04-2025, 10:49:57 am
33,https://www.bbc.com/news,report generated,11-04-2025, 9:31:48 am
34,https://fontawesome.com/icons/comments?s=solid,report generated,11-04-2025, 9:31:36 am
35,https://fontawesome.com/icons/comments?s=solid,report generated,11-04-2025, 9:31:21 am
36,https://www.bbc.com/news,report generated,11-04-2025, 9:29:18 am
37,https://www.bbc.com/news,report generated,11-04-2025, 9:24:11 am
38,https://www.bbc.com/news,report generated,11-04-2025, 9:23:09 am
39,https://www.bbc.com/news,report generated,11-04-2025, 9:22:33 am
40,https://www.bbc.com/news,report generated,11-04-2025, 9:22:23 am
41,https://www.bbc.com/news,report generated,11-04-2025, 9:18:41 am
42,https://www.bbc.com/news,report generated,11-04-2025, 9:18:17 am
43,https://fontawesome.com/icons/comments?s=solid,report generated,11-04-2025, 9:17:17 am
44,https://www.bbc.com/news,report generated,11-04-2025, 9:17:02 am
45,https://emojidb.org/lock-emojis,report generated,11-04-2025, 9:15:28 am
46,https://emojidb.org/lock-emojis,report generated,11-04-2025, 8:57:50 am
47,https://fontawesome.com/icons/comments?s=solid,report generated,11-04-2025, 8:57:19 am
48,https://www.bbc.com/news,report generated,11-04-2025, 8:57:06 am
49,https://www.bbc.com/news,report generated,11-04-2025, 8:56:55 am
50,https://www.bbc.com/news,report generated,11-04-2025, 8:56:40 am
51,https://www.bbc.com/news,report generated,11-04-2025, 8:56:24 am
52,https://emojidb.org/lock-emojis,report generated,11-04-2025, 8:55:45 am
53,https://emojidb.org/lock-emojis,report generated,11-04-2025, 8:55:22 am
54,https://emojipedia.org/house,report generated,11-04-2025, 8:55:09 am
55,https://emojidb.org/lock-emojis,report generated,11-04-2025, 8:54:52 am
56,https://emojipedia.org/house,report generated,11-04-2025, 8:54:35 am
57,https://emojidb.org/lock-emojis,report generated,11-04-2025, 7:28:02 am
58,https://emojipedia.org/house,report generated,11-04-2025, 6:24:28 am
59,https://emojidb.org/lock-emojis,report generated,11-04-2025, 6:24:18 am
60,https://emojidb.org/lock-emojis,report generated,11-04-2025, 6:22:49 am
61,https://emojipedia.org/house,report generated,11-04-2025, 6:22:35 am
62,https://www.bbc.com/news,report generated,11-04-2025, 6:21:07 am
63,https://www.bbc.com/news,report generated,11-04-2025, 6:20:42 am
64,https://fontawesome.com/icons/comments?s=solid,report generated,11-04-2025, 6:20:26 am
65,https://www.bbc.com/news,report generated,11-04-2025, 6:20:13 am
66,https://www.bbc.com/news,report generated,11-04-2025, 6:18:59 am
67,https://find-the-right.vercel.app/,report generated,10-04-2025, 2:44:20 pm
68,https://emojipedia.org/house,report generated,10-04-2025, 2:44:20 pm
69,https://find-the-right.vercel.app/,report generated,10-04-2025, 2:43:48 pm
70,https://find-the-right.vercel.app/,report generated,10-04-2025, 2:36:06 pm
71,https://emojipedia.org/house,report generated,10-04-2025, 2:33:49 pm
72,https://emojidb.org/lock-emojis,report generated,10-04-2025, 2:26:13 pm
73,https://emojidb.org/lock-emojis,report generated,10-04-2025, 1:50:47 pm
74,https://find-the-right.vercel.app/,report generated,10-04-2025, 1:03:41 pm
75,https://find-the-right.vercel.app/,report generated,10-04-2025, 1:03:24 pm
76,https://emojipedia.org/house,URL Checked,06-04-2025, 12:11:42 pm
77,https://find-the-right.vercel.app/,URL Checked,06-04-2025, 12:07:00 pm
78,https://emojipedia.org/house,URL Checked,06-04-2025, 11:58:36 am
79,https://emojidb.org/lock-emojis,URL Checked,05-04-2025, 12:27:57 pm
80,https://find-the-right.vercel.app/,URL Checked,05-04-2025, 11:07:20 am
